lng,lat
-7.401794599999999491e+01,4.070699099999999504e+01
-7.401662600000000225e+01,4.070813400000000115e+01
-7.401644000000000290e+01,4.071629899999999935e+01
-7.401518500000000245e+01,4.070852199999999499e+01
-7.401454300000000330e+01,4.071710399999999908e+01
-7.401443000000000438e+01,4.070315099999999831e+01
-7.401359200000000271e+01,4.070796800000000104e+01
-7.401321599999999989e+01,4.071519800000000089e+01
-7.401299799999999607e+01,4.070309999999999917e+01
-7.401228499999999144e+01,4.072033799999999815e+01
-7.401214399999999216e+01,4.070897999999999683e+01
-7.401170999999999367e+01,4.071365600000000029e+01
-7.401159100000000990e+01,4.073992400000000202e+01
-7.401158300000000168e+01,4.070351900000000001e+01
-7.401126700000000369e+01,4.072427400000000119e+01
-7.401076999999999373e+01,4.072910600000000159e+01
-7.401069300000000339e+01,4.071746999999999872e+01
-7.401054200000000094e+01,4.070915399999999806e+01
-7.401020099999999502e+01,4.070332100000000253e+01
-7.401011700000000815e+01,4.073856899999999825e+01
-7.400979999999999848e+01,4.073320400000000063e+01
-7.400977100000000064e+01,4.072212100000000135e+01
-7.400925399999999854e+01,4.071325600000000122e+01
-7.400899599999999623e+01,4.070695300000000572e+01
-7.400896699999999839e+01,4.072674599999999856e+01
-7.400888000000000488e+01,4.071827400000000097e+01
-7.400872499999999832e+01,4.074320600000000070e+01
-7.400847799999999665e+01,4.075032600000000116e+01
-7.400843600000000322e+01,4.073479099999999420e+01
-7.400811699999999860e+01,4.072262700000000279e+01
-7.400798000000000343e+01,4.070318900000000184e+01
-7.400774499999999989e+01,4.071022100000000421e+01
-7.400754399999999578e+01,4.071543300000000443e+01
-7.400748299999999347e+01,4.074094199999999688e+01
-7.400731999999999289e+01,4.072732799999999997e+01
-7.400729300000000421e+01,4.075308900000000278e+01
-7.400697999999999865e+01,4.073500200000000149e+01
-7.400680899999998985e+01,4.071977800000000514e+01
-7.400678100000000370e+01,4.070672400000000124e+01
-7.400638499999999453e+01,4.074464600000000303e+01
-7.400622699999999554e+01,4.074991299999999939e+01
-7.400608800000000542e+01,4.071197000000000088e+01
-7.400603999999999871e+01,4.072440300000000235e+01
-7.400575200000000109e+01,4.073712299999999686e+01
-7.400570600000000354e+01,4.073162700000000314e+01
-7.400532300000000419e+01,4.071827400000000097e+01
-7.400523800000000563e+01,4.075622700000000265e+01
-7.400520300000000873e+01,4.070599699999999643e+01
-7.400511000000000195e+01,4.074637100000000345e+01
-7.400457500000000266e+01,4.072417300000000040e+01
-7.400443500000000085e+01,4.071399600000000163e+01
-7.400430300000000727e+01,4.073044699999999807e+01
-7.400422100000000114e+01,4.075260399999999805e+01
-7.400417500000000359e+01,4.073813400000000229e+01
-7.400354200000001015e+01,4.074344800000000077e+01
-7.400351200000000063e+01,4.072055699999999945e+01
-7.400336599999999976e+01,4.071079000000000292e+01
-7.400323600000000113e+01,4.074897399999999692e+01
-7.400315500000000668e+01,4.072766400000000431e+01
-7.400315400000000920e+01,4.073489599999999911e+01
-7.400302700000000300e+01,4.071559200000000089e+01
-7.400276200000000415e+01,4.076017600000000130e+01
-7.400247600000000148e+01,4.073973099999999903e+01
-7.400242800000000898e+01,4.075507400000000047e+01
-7.400232900000000313e+01,4.070670799999999900e+01
-7.400226500000000840e+01,4.074520700000000062e+01
-7.400217399999999657e+01,4.072292999999999807e+01
-7.400180600000000197e+01,4.073294899999999785e+01
-7.400156599999999685e+01,4.071729899999999702e+01
-7.400142999999999915e+01,4.075144500000000392e+01
-7.400139000000000067e+01,4.072766000000000020e+01
-7.400131100000000117e+01,4.076206799999999930e+01
-7.400117699999999843e+01,4.071011099999999772e+01
-7.400112900000000593e+01,4.074166799999999711e+01
-7.400096500000000788e+01,4.075702499999999873e+01
-7.400072199999999611e+01,4.073592599999999919e+01
-7.400065699999998969e+01,4.072218300000000113e+01
-7.400045199999999568e+01,4.071437199999999734e+01
-7.400039900000000159e+01,4.074776699999999607e+01
-7.400012199999999041e+01,4.073043200000000041e+01
-7.399983500000000447e+01,4.076312700000000433e+01
-7.399963300000000288e+01,4.075391799999999876e+01
-7.399942299999999307e+01,4.071867999999999910e+01
-7.399942199999999559e+01,4.074400900000000547e+01
-7.399934499999999105e+01,4.072500800000000254e+01
-7.399929099999999949e+01,4.070877600000000029e+01
-7.399918800000000374e+01,4.073413400000000451e+01
-7.399874399999998786e+01,4.076010499999999581e+01
-7.399862900000000820e+01,4.071344600000000469e+01
-7.399860499999999774e+01,4.072968499999999636e+01
-7.399859399999999710e+01,4.075024099999999549e+01
-7.399828700000000481e+01,4.074047000000000196e+01
-7.399819599999999298e+01,4.072106300000000090e+01
-7.399807800000000668e+01,4.076483400000000046e+01
-7.399784599999999557e+01,4.075456099999999537e+01
-7.399760999999999456e+01,4.072579700000000003e+01
-7.399755199999999888e+01,4.074658099999999905e+01
-7.399734100000000581e+01,4.073666800000000165e+01
-7.399711700000000292e+01,4.071279899999999685e+01
-7.399710799999999722e+01,4.071786999999999779e+01
-7.399697399999999448e+01,4.073140899999999931e+01
-7.399688199999999938e+01,4.075935700000000139e+01
-7.399669300000000760e+01,4.076670299999999969e+01
-7.399658000000000868e+01,4.074281099999999611e+01
-7.399629799999999591e+01,4.075339400000000012e+01
-7.399626800000000060e+01,4.072195200000000170e+01
-7.399619599999999764e+01,4.074844000000000221e+01
-7.399596499999999821e+01,4.070924300000000073e+01
-7.399559299999999951e+01,4.072819400000000201e+01
-7.399548900000000629e+01,4.073343700000000212e+01
-7.399547400000000152e+01,4.075962700000000183e+01
-7.399544600000000116e+01,4.073927199999999971e+01
-7.399542900000000145e+01,4.071727899999999778e+01
-7.399516099999999597e+01,4.074476299999999895e+01
-7.399511400000000094e+01,4.076925100000000413e+01
-7.399490899999999272e+01,4.072303600000000046e+01
-7.399484400000000051e+01,4.075029299999999921e+01
-7.399448499999999740e+01,4.075588199999999972e+01
-7.399445899999999199e+01,4.071302100000000479e+01
-7.399416499999999530e+01,4.074103099999999955e+01
-7.399411800000000028e+01,4.073531299999999788e+01
-7.399406999999999357e+01,4.076155200000000178e+01
-7.399406399999999451e+01,4.072997800000000268e+01
-7.399382800000000771e+01,4.071814499999999981e+01
-7.399381300000000294e+01,4.074661799999999801e+01
-7.399372199999999111e+01,4.076710500000000081e+01
-7.399368699999999421e+01,4.077210900000000038e+01
-7.399345999999999890e+01,4.075219600000000497e+01
-7.399345799999998974e+01,4.072443300000000477e+01
-7.399306899999999132e+01,4.075782600000000144e+01
-7.399297599999999875e+01,4.071382499999999993e+01
-7.399280500000000416e+01,4.074290100000000336e+01
-7.399279200000000856e+01,4.073392199999999974e+01
-7.399270099999999672e+01,4.076343099999999708e+01
-7.399246300000000076e+01,4.074846900000000005e+01
-7.399237099999999145e+01,4.076898200000000116e+01
-7.399223700000000292e+01,4.072124799999999567e+01
-7.399207900000000393e+01,4.075409099999999540e+01
-7.399193999999999960e+01,4.070978600000000114e+01
-7.399179800000000284e+01,4.073850399999999894e+01
-7.399179399999999873e+01,4.072639099999999956e+01
-7.399168299999999476e+01,4.075972800000000262e+01
-7.399146000000000356e+01,4.073173800000000000e+01
-7.399141899999999339e+01,4.074480199999999996e+01
-7.399133299999999736e+01,4.076530999999999949e+01
-7.399130900000000111e+01,4.071602299999999985e+01
-7.399110999999999194e+01,4.075031899999999752e+01
-7.399093799999999987e+01,4.077095200000000119e+01
-7.399072599999999511e+01,4.075595100000000315e+01
-7.399062899999999843e+01,4.072076599999999758e+01
-7.399052700000000016e+01,4.074025600000000225e+01
-7.399031499999999539e+01,4.076160600000000045e+01
-7.399023199999999179e+01,4.072811699999999746e+01
-7.399012500000000614e+01,4.071338200000000285e+01
-7.399006700000001047e+01,4.074665900000000107e+01
-7.398998600000000181e+01,4.076715800000000200e+01
-7.398993799999999510e+01,4.073447300000000126e+01
-7.398977600000000621e+01,4.077379099999999568e+01
-7.398969400000000007e+01,4.075227999999999895e+01
-7.398947300000000382e+01,4.071789299999999656e+01
-7.398939799999999423e+01,4.072316299999999956e+01
-7.398929699999999343e+01,4.075790700000000299e+01
-7.398913500000000454e+01,4.074301799999999929e+01
-7.398905299999999841e+01,4.073072400000000215e+01
-7.398894599999999855e+01,4.076348600000000033e+01
-7.398885300000000598e+01,4.077757299999999674e+01
-7.398870800000000258e+01,4.074850399999999695e+01
-7.398860000000000525e+01,4.071351099999999690e+01
-7.398857800000000395e+01,4.073714700000000022e+01
-7.398855899999999508e+01,4.076911499999999933e+01
-7.398833499999999219e+01,4.075412999999999641e+01
-7.398796800000000928e+01,4.072394200000000097e+01
-7.398792699999999911e+01,4.075979099999999988e+01
-7.398774600000000135e+01,4.074406599999999656e+01
-7.398768299999998987e+01,4.073260399999999493e+01
-7.398758399999999824e+01,4.076535399999999498e+01
-7.398755699999999536e+01,4.071803400000000295e+01
-7.398753299999999911e+01,4.078023300000000262e+01
-7.398731200000000285e+01,4.073890499999999548e+01
-7.398729399999999146e+01,4.075045099999999820e+01
-7.398718700000000581e+01,4.077098600000000062e+01
-7.398694899999999564e+01,4.075603600000000171e+01
-7.398692599999999686e+01,4.071290300000000428e+01
-7.398662299999999448e+01,4.072579600000000255e+01
-7.398656099999999469e+01,4.076165999999999912e+01
-7.398639300000000674e+01,4.074592100000000272e+01
-7.398622100000000046e+01,4.076722399999999880e+01
-7.398621599999999887e+01,4.073461900000000213e+01
-7.398620900000000233e+01,4.071769299999999703e+01
-7.398594699999999591e+01,4.075231699999999790e+01
-7.398587899999999706e+01,4.074085300000000132e+01
-7.398578200000000038e+01,4.078031500000000165e+01
-7.398555100000000095e+01,4.075796799999999820e+01
-7.398551600000000406e+01,4.072198600000000113e+01
-7.398536000000000001e+01,4.077349000000000245e+01
-7.398530699999999172e+01,4.072759899999999789e+01
-7.398521300000000167e+01,4.071377100000000127e+01
-7.398520299999999850e+01,4.076352899999999835e+01
-7.398504599999999698e+01,4.074777299999999514e+01
-7.398494100000000628e+01,4.073234699999999719e+01
-7.398474099999999964e+01,4.078572700000000140e+01
-7.398459599999999625e+01,4.075417699999999854e+01
-7.398452900000000909e+01,4.074270800000000037e+01
-7.398432199999999170e+01,4.076983200000000096e+01
-7.398423199999999156e+01,4.071882800000000202e+01
-7.398417399999999589e+01,4.075984099999999444e+01
-7.398408600000000490e+01,4.073754300000000228e+01
-7.398405600000000959e+01,4.078041500000000497e+01
-7.398397900000000504e+01,4.077538100000000298e+01
-7.398395800000000122e+01,4.072547300000000092e+01
-7.398391399999999862e+01,4.071130399999999838e+01
-7.398362099999999941e+01,4.074972400000000050e+01
-7.398337700000000439e+01,4.076603200000000271e+01
-7.398317699999999775e+01,4.074456200000000194e+01
-7.398317600000000027e+01,4.073334000000000543e+01
-7.398316800000000626e+01,4.075614000000000203e+01
-7.398306700000000546e+01,4.078768699999999825e+01
-7.398300299999999652e+01,4.072122299999999484e+01
-7.398294200000000842e+01,4.077172399999999897e+01
-7.398266499999999724e+01,4.073949700000000007e+01
-7.398265699999998901e+01,4.072726099999999860e+01
-7.398262300000000380e+01,4.078238499999999789e+01
-7.398258800000000690e+01,4.077727999999999753e+01
-7.398258500000000026e+01,4.071643300000000210e+01
-7.398235699999999326e+01,4.076233400000000273e+01
-7.398234700000000430e+01,4.071087700000000353e+01
-7.398227500000000134e+01,4.075157700000000460e+01
-7.398192600000000141e+01,4.074646800000000013e+01
-7.398170999999999253e+01,4.076711900000000099e+01
-7.398158300000000054e+01,4.073264100000000099e+01
-7.398157199999999989e+01,4.077360200000000390e+01
-7.398144800000000032e+01,4.078618400000000577e+01
-7.398143699999999967e+01,4.072363400000000411e+01
-7.398134100000000046e+01,4.075864500000000135e+01
-7.398131200000000263e+01,4.074135100000000165e+01
-7.398122600000000659e+01,4.078097800000000461e+01
-7.398092300000000421e+01,4.071426400000000001e+01
-7.398088800000000731e+01,4.075348100000000073e+01
-7.398056400000000110e+01,4.076990500000000139e+01
-7.398053600000000074e+01,4.074839800000000167e+01
-7.398035699999999792e+01,4.078994099999999889e+01
-7.398033800000000326e+01,4.073044799999999555e+01
-7.398020300000000304e+01,4.077548000000000172e+01
-7.398010500000000889e+01,4.078387199999999524e+01
-7.397997200000000362e+01,4.076052500000000123e+01
-7.397996700000000203e+01,4.073916799999999938e+01
-7.397973100000000102e+01,4.072289200000000164e+01
-7.397953199999999185e+01,4.076621300000000048e+01
-7.397950799999999560e+01,4.074382500000000107e+01
-7.397948300000000188e+01,4.075540499999999611e+01
-7.397929599999999084e+01,4.071731900000000337e+01
-7.397919300000000931e+01,4.077178200000000174e+01
-7.397918299999999192e+01,4.075027500000000202e+01
-7.397899800000000425e+01,4.072810599999999681e+01
-7.397884300000001190e+01,4.078757900000000092e+01
-7.397880100000000425e+01,4.077740299999999962e+01
-7.397860099999999761e+01,4.076239600000000252e+01
-7.397851400000000410e+01,4.073687299999999567e+01
-7.397823100000000807e+01,4.072067400000000248e+01
-7.397818399999999883e+01,4.074162899999999610e+01
-7.397811599999999999e+01,4.075728400000000562e+01
-7.397782700000000489e+01,4.077365600000000256e+01
-7.397782399999999825e+01,4.078383000000000180e+01
-7.397781200000000013e+01,4.075217700000000320e+01
-7.397778100000000734e+01,4.071244899999999944e+01
-7.397769100000000719e+01,4.079216399999999965e+01
-7.397763600000000395e+01,4.074639200000000017e+01
-7.397756499999999846e+01,4.072588900000000223e+01
-7.397719599999999218e+01,4.076432400000000200e+01
-7.397691100000000120e+01,4.077999499999999955e+01
-7.397674399999999650e+01,4.075916500000000298e+01
-7.397669999999999391e+01,4.073940999999999946e+01
-7.397661800000000198e+01,4.078834600000000421e+01
-7.397657399999999939e+01,4.071524500000000302e+01
-7.397632099999999866e+01,4.079600500000000096e+01
-7.397628799999999671e+01,4.074824500000000427e+01
-7.397621200000000385e+01,4.072532600000000258e+01
-7.397595900000000313e+01,4.077621699999999549e+01
-7.397587699999999700e+01,4.075470500000000129e+01
-7.397548299999999699e+01,4.078195200000000398e+01
-7.397547500000000298e+01,4.071889399999999881e+01
-7.397539399999999432e+01,4.073308300000000060e+01
-7.397537300000000471e+01,4.076104000000000127e+01
-7.397534300000000940e+01,4.074127399999999710e+01
-7.397513199999998790e+01,4.079025500000000193e+01
-7.397493500000000211e+01,4.075010000000000332e+01
-7.397458899999999460e+01,4.072464099999999831e+01
-7.397457900000000564e+01,4.079626799999999776e+01
-7.397453199999999640e+01,4.077816800000000086e+01
-7.397452400000000239e+01,4.073738099999999918e+01
-7.397450899999999763e+01,4.075658599999999865e+01
-7.397412599999999827e+01,4.073137899999999689e+01
-7.397408900000000642e+01,4.076395000000000124e+01
-7.397406099999999185e+01,4.078390200000000476e+01
-7.397401500000000851e+01,4.074309500000000384e+01
-7.397376800000000685e+01,4.079212800000000527e+01
-7.397363799999999401e+01,4.077426400000000228e+01
-7.397359099999999899e+01,4.074792000000000058e+01
-7.397315299999999638e+01,4.079857700000000165e+01
-7.397314399999999068e+01,4.075846099999999694e+01
-7.397309599999999818e+01,4.073897699999999844e+01
-7.397304499999999905e+01,4.075269199999999614e+01
-7.397267399999999782e+01,4.078580399999999884e+01
-7.397255300000000489e+01,4.076489799999999519e+01
-7.397239700000000084e+01,4.079401200000000216e+01
-7.397228900000000351e+01,4.077379499999999979e+01
-7.397226999999999464e+01,4.074284300000000059e+01
-7.397225600000000156e+01,4.072973100000000102e+01
-7.397177499999999384e+01,4.076034299999999888e+01
-7.397172600000000386e+01,4.078205999999999420e+01
-7.397171299999999405e+01,4.075049400000000333e+01
-7.397145999999999333e+01,4.080033399999999943e+01
-7.397122299999999484e+01,4.078779399999999811e+01
-7.397121700000000999e+01,4.075519299999999845e+01
-7.397118899999999542e+01,4.076676700000000153e+01
-7.397096799999999917e+01,4.074465399999999704e+01
-7.397085400000000277e+01,4.079337800000000414e+01
-7.397033000000000413e+01,4.076232999999999862e+01
-7.397032900000000666e+01,4.078397899999999510e+01
-7.397004699999999389e+01,4.080226500000000556e+01
-7.396994999999999720e+01,4.074884600000000034e+01
-7.396985899999999958e+01,4.079718599999999640e+01
-7.396985100000000557e+01,4.078967399999999799e+01
-7.396984999999999388e+01,4.075707299999999833e+01
-7.396982500000000016e+01,4.076864600000000394e+01
-7.396896999999999878e+01,4.076419800000000038e+01
-7.396896999999999878e+01,4.077329300000000245e+01
-7.396884399999999005e+01,4.078596699999999942e+01
-7.396865300000000332e+01,4.074744799999999856e+01
-7.396864700000000425e+01,4.080420600000000064e+01
-7.396851999999999805e+01,4.075487700000000046e+01
-7.396847199999999134e+01,4.079156500000000563e+01
-7.396847199999999134e+01,4.079664099999999394e+01
-7.396802399999999977e+01,4.075957800000000475e+01
-7.396775999999999840e+01,4.076859400000000022e+01
-7.396749100000000965e+01,4.078787499999999966e+01
-7.396740099999999529e+01,4.080695599999999956e+01
-7.396731899999998916e+01,4.075184500000000298e+01
-7.396711399999999514e+01,4.079850100000000168e+01
-7.396701600000000099e+01,4.079356200000000143e+01
-7.396681300000000192e+01,4.076410500000000070e+01
-7.396670199999999795e+01,4.075738100000000230e+01
-7.396653700000000242e+01,4.077314000000000505e+01
-7.396610799999999131e+01,4.078973599999999777e+01
-7.396590100000000234e+01,4.080551499999999976e+01
-7.396578000000000941e+01,4.076858299999999957e+01
-7.396570499999999981e+01,4.080043100000000322e+01
-7.396563299999999685e+01,4.079545800000000355e+01
-7.396529100000000767e+01,4.075931099999999674e+01
-7.396514799999999923e+01,4.077504499999999865e+01
-7.396488899999999944e+01,4.075249500000000324e+01
-7.396475600000000838e+01,4.076405700000000110e+01
-7.396470699999998999e+01,4.079167400000000043e+01
-7.396460999999999331e+01,4.080892899999999912e+01
-7.396441500000000246e+01,4.077045900000000245e+01
-7.396438100000000304e+01,4.081505500000000097e+01
-7.396429000000000542e+01,4.080236899999999878e+01
-7.396393299999999726e+01,4.079713100000000026e+01
-7.396387099999999748e+01,4.075700799999999902e+01
-7.396375700000000109e+01,4.077699400000000196e+01
-7.396342400000000339e+01,4.076185900000000117e+01
-7.396306599999999776e+01,4.081093500000000063e+01
-7.396296200000000454e+01,4.077245500000000078e+01
-7.396293100000001175e+01,4.076655600000000135e+01
