,vehicles,capacity,waiting_time,day,predictions,comp_time
0,1000.0,2.0,300.0,1.0,-1.0,5.02059277443
1,1000.0,2.0,300.0,2.0,-1.0,5.0672578158
2,1000.0,2.0,300.0,1.0,0.0,5.38862471542
3,1000.0,2.0,300.0,2.0,0.0,5.88629146315
4,1000.0,2.0,300.0,1.0,200.0,15.7298995414
5,1000.0,2.0,300.0,2.0,200.0,16.6225739059
6,1000.0,2.0,300.0,1.0,400.0,29.0925424702
7,1000.0,2.0,300.0,2.0,400.0,30.1517581724
8,1000.0,4.0,300.0,1.0,-1.0,3.95449972782
9,1000.0,4.0,300.0,2.0,-1.0,4.64791385601
10,1000.0,4.0,300.0,1.0,0.0,7.53418989054
11,1000.0,4.0,300.0,2.0,0.0,8.34534063399
12,1000.0,4.0,300.0,1.0,200.0,24.4441800389
13,1000.0,4.0,300.0,2.0,200.0,25.5130541835
14,1000.0,4.0,300.0,1.0,400.0,49.2609566472
15,1000.0,4.0,300.0,2.0,400.0,48.6944504312
16,2000.0,2.0,300.0,1.0,-1.0,6.85558361374
17,2000.0,2.0,300.0,1.0,0.0,9.63965847411
18,2000.0,2.0,300.0,2.0,0.0,11.2199683013
19,2000.0,2.0,300.0,1.0,200.0,19.3686678803
20,2000.0,2.0,300.0,2.0,200.0,20.9162143332
21,2000.0,2.0,300.0,1.0,400.0,32.8721113557
22,2000.0,2.0,300.0,2.0,400.0,34.4657220864
23,2000.0,4.0,300.0,1.0,-1.0,8.92248722486
24,2000.0,4.0,300.0,2.0,-1.0,10.5821069846
25,2000.0,4.0,300.0,1.0,0.0,13.8488263603
26,2000.0,4.0,300.0,2.0,0.0,16.3756010257
27,2000.0,4.0,300.0,1.0,200.0,32.2527865195
28,2000.0,4.0,300.0,2.0,200.0,36.4574377245
29,2000.0,4.0,300.0,1.0,400.0,64.2628961966
30,2000.0,4.0,300.0,2.0,400.0,67.4236461524
31,3000.0,2.0,300.0,2.0,-1.0,8.82978535378
32,3000.0,2.0,300.0,1.0,0.0,10.0923630987
33,3000.0,2.0,300.0,2.0,0.0,11.5385478496
34,3000.0,2.0,300.0,1.0,200.0,17.2734383512
35,3000.0,2.0,300.0,2.0,200.0,18.356892411
36,3000.0,2.0,300.0,1.0,400.0,28.4655039452
37,3000.0,2.0,300.0,2.0,400.0,27.8881683351
38,3000.0,4.0,300.0,1.0,-1.0,7.71687750845
39,3000.0,4.0,300.0,2.0,-1.0,11.8606065486
40,3000.0,4.0,300.0,1.0,0.0,15.7972581343
41,3000.0,4.0,300.0,2.0,0.0,21.4607153384
42,3000.0,4.0,300.0,1.0,200.0,29.4610705886
43,3000.0,4.0,300.0,2.0,200.0,32.854160696
44,3000.0,4.0,300.0,1.0,400.0,63.3340630432
45,3000.0,4.0,300.0,2.0,400.0,65.9891083778
